,Id,Slug,Url,HasTravis,HasCircle,NumPrs,NumComments
5645,43426226,ministryofjustice/money-to-prisoners-transaction-uploader,https://api.github.com/repos/ministryofjustice/money-to-prisoners-transaction-uploader,False,True,63.0,17.0
5714,45409716,vuejs/vue-rx,https://api.github.com/repos/vuejs/vue-rx,False,True,46.0,87.0
5753,53155254,globality-corp/microcosm-postgres,https://api.github.com/repos/globality-corp/microcosm-postgres,False,True,71.0,45.0
5771,49578422,ministryofjustice/money-to-prisoners-send-money,https://api.github.com/repos/ministryofjustice/money-to-prisoners-send-money,False,True,281.0,40.0
5918,64632507,conda-forge/conda-build-feedstock,https://api.github.com/repos/conda-forge/conda-build-feedstock,False,True,89.0,311.0
5983,11940285,foray1010/Popup-my-Bookmarks,https://api.github.com/repos/foray1010/Popup-my-Bookmarks,False,True,42.0,
6067,41872319,18F/atf-eregs,https://api.github.com/repos/18F/atf-eregs,False,True,196.0,206.0
6081,56711104,gruntwork-io/fetch,https://api.github.com/repos/gruntwork-io/fetch,False,True,25.0,72.0
6095,47432128,google/google-id-token,https://api.github.com/repos/google/google-id-token,False,True,18.0,44.0
6129,50512321,linuxmint/xplayer,https://api.github.com/repos/linuxmint/xplayer,False,True,58.0,32.0
6148,57171138,conda-forge/rios-feedstock,https://api.github.com/repos/conda-forge/rios-feedstock,False,True,18.0,71.0
6267,47716038,krausest/js-framework-benchmark,https://api.github.com/repos/krausest/js-framework-benchmark,False,True,394.0,1296.0
6274,64704454,conda-forge/psycopg2-feedstock,https://api.github.com/repos/conda-forge/psycopg2-feedstock,False,True,24.0,42.0
6363,40772809,adonisjs/adonis-framework,https://api.github.com/repos/adonisjs/adonis-framework,False,True,166.0,338.0
6365,62140617,conda-forge/jupyterlab-feedstock,https://api.github.com/repos/conda-forge/jupyterlab-feedstock,False,True,138.0,250.0
6371,27745737,aurelia/task-queue,https://api.github.com/repos/aurelia/task-queue,False,True,16.0,54.0
6392,54662602,conda-forge/django-taggit-feedstock,https://api.github.com/repos/conda-forge/django-taggit-feedstock,False,True,14.0,41.0
6443,37074635,ministryofjustice/money-to-prisoners-api,https://api.github.com/repos/ministryofjustice/money-to-prisoners-api,False,True,489.0,290.0
6503,45052365,LREN-CHUV/mip-microservices-infrastructure,https://api.github.com/repos/LREN-CHUV/mip-microservices-infrastructure,False,True,23.0,7.0
6506,75401165,weaveworks/grafanalib,https://api.github.com/repos/weaveworks/grafanalib,False,True,106.0,159.0
6513,65257933,conda-forge/pycalphad-feedstock,https://api.github.com/repos/conda-forge/pycalphad-feedstock,False,True,20.0,34.0
6525,65415630,Automattic/simplenote-macos,https://api.github.com/repos/Automattic/simplenote-macos,False,True,104.0,132.0
6544,27777998,mozilla/python_moztelemetry,https://api.github.com/repos/mozilla/python_moztelemetry,False,True,206.0,640.0
6586,47530960,osokayama/osokayama.github.io,https://api.github.com/repos/osokayama/osokayama.github.io,False,True,110.0,191.0
6598,8171472,solidusjs/solidus,https://api.github.com/repos/solidusjs/solidus,False,True,31.0,124.0
6613,63974097,coinbase/geoengineer,https://api.github.com/repos/coinbase/geoengineer,False,True,302.0,211.0
6686,46621395,Jador/react-hyperscript-helpers,https://api.github.com/repos/Jador/react-hyperscript-helpers,False,True,13.0,34.0
6742,24640212,confetti/yayson,https://api.github.com/repos/confetti/yayson,False,True,21.0,47.0
6850,50754264,sroberts/cacador,https://api.github.com/repos/sroberts/cacador,False,True,18.0,15.0
6889,57977817,pipocadigital/grao-de-milho,https://api.github.com/repos/pipocadigital/grao-de-milho,False,True,29.0,5.0
